COACH,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
Gregg Marshall,-0.8,240,0.2,86,16,9,7,0.562,7,5,2,1,1,0,0,1,47.60%,13.50%
Dan Dakich,-0.8,240,-0.7,233,1,0,1,0,1,0,0,0,0,0,0,0,2.10%,0.10%
Steve Fischer,-0.8,240,-1.2,263,12,6,6,0.5,6,4,2,0,0,0,0,1,32.10%,6.90%
Keith Dambrot,-0.8,240,-0.9,245,3,0,3,0,3,0,0,0,0,0,0,0,0.50%,0.00%
Ben Howland,-0.8,240,-1.5,278,11,6,5,0.545,5,3,1,1,1,0,0,1,47.20%,11.50%
Pat Kelsey,-0.8,240,-1.3,270,3,0,3,0,3,0,0,0,0,0,0,0,0.70%,0.00%
Matt Langel,-0.9,247,-0.5,213,4,0,4,0,4,0,0,0,0,0,0,0,0.50%,0.00%
Bob McKillop,-0.9,247,0.3,84,9,3,6,0.333,6,1,1,1,0,0,0,0,11.20%,2.30%
Darian DeVries,-0.9,247,-1.1,253,2,0,2,0,2,0,0,0,0,0,0,0,1.70%,0.10%
Tim Floyd,-0.9,247,-0.7,233,3,1,2,0.333,2,1,0,0,0,0,0,0,5.90%,0.60%
